Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.018732,-0.0018327,6.5627E-05,0,0,0,1.652,0.0054078,-8.1686E-08,1.7243E-07,0.0033448,0.000338,0.0050429,0,0,0,0,0,0,package://Lite6SW/meshes/Link0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0151275932232116,0.0579204493545037,2.19551603120993E-06,0,0,0,0.768991147574951,0.000943626498667008,-0.000157292714284292,2.15996612594016E-07,0.00109494607083285,-2.22121831784589E-07,0.00140822699612182,0,0,0,0,0,0,package://Lite6SW/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.018734,0.0081421,0.10801,1.5708,0,0.44466,Link0,0,1,0,87,1,-3.14,3.14,,,,,,,,
Link2,0.0393674312053038,0.114689083475917,-1.16049367768212E-07,0,0,0,1.07641986433026,0.0074647521466109,0.000698701711095757,1.87680188772944E-09,0.0010141666624239,2.16807495933928E-08,0.00762588067564787,0,0,0,0,0,0,package://Lite6SW/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.063402,0.070003,0,0.16685,0,0,Link1,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link3,-0.0609958253913071,-0.0374546185537631,-0.000573223605539297,0,0,0,0.765154145695372,0.00178429532394685,-9.39526519655782E-05,4.19002986063285E-06,0.000627175631060909,-6.64736337229171E-05,0.00183654230766257,0,0,0,0,0,0,package://Lite6SW/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,0.2,0,-1.7923,0,0,Link2,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link4,0.025192,-7.5846E-07,-0.095945,0,0,0,1.1995,0.0024225,-2.9204E-08,0.00075851,0.0031521,6.4901E-10,0.0017277,0,0,0,0,0,0,package://Lite6SW/meshes/Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,-0.063102,-0.087,-0.036764,0,0,0.82181,Link3,0,0,1,87,1,-3.14,3.14,,,,,,,,
Link5,0.00343463284444397,-1.9672289705841E-06,-0.00164401924666242,0,0,0,0.407452698954146,0.00035868067049016,-1.01003224755686E-08,-6.27683321989722E-06,0.000380454304803847,9.57907967908569E-09,0.000334589885147441,0,0,0,0,0,0,package://Lite6SW/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,-0.19035,-0.67025,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,,,,,,
Link6,-0.000205287528767653,-0.000431985584020661,-0.0521159158328704,0,0,0,0.0844258078209593,3.65814863001815E-05,-2.96217183969797E-08,3.62773534330124E-08,3.631438997443E-05,-6.16706110817238E-08,6.56234046220339E-05,0,0,0,0,0,0,package://Lite6SW/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,revolute,0,0,0,0,0,2.3052,Link5,0,0,1,12,1,-3.14,3.14,,,,,,,,
Link_hand,0.010871,0.12475,0.16132,0,0,0,2.8324E-05,2.6243E-08,2.4446E-10,-1.9336E-10,3.2697E-08,1.5561E-09,5.6367E-08,0,0,0,0,0,0,package://Lite6SW/meshes/Link_hand.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://Lite6SW/meshes/Link_hand.STL,,hand_a-1,Origin_Jointhand,Axis_Jointhand,Jointhand,fixed,-0.143994889254642,-0.110620539565209,-0.000920598520901636,-1.5707963267949,0,-0.857039475880045,Link6,0,0,0,0,0,0,,,,,,,,,
F1,-0.0518421897983745,0.197400558115342,0.180271445605294,0,0,0,1.65931130070178E-05,5.21306882008169E-09,-1.07359635431317E-09,-4.77637982894656E-15,1.51225273040482E-09,-4.17550068176153E-15,4.97041362456223E-09,0,0,0,0,0,0,package://Lite6SW/meshes/F1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW/meshes/F1.STL,,finger1-1,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,20,0.1,0,0.04,,,,,,,,
F1point,2.77555756156289E-17,1.38777878078145E-17,0.000999999999999973,0,0,0,0.0001,2.41666666666667E-10,-4.13590306276514E-25,4.11974719142621E-25,8.66666666666666E-10,0,1.04166666666667E-09,0,0,0,0,0,0,package://Lite6SW/meshes/F1point.STL,1,1,1,1,0,0,0,0,0,0,package://Lite6SW/meshes/F1point.STL,,fingertip-2,Origin_f1_pjoint,,f1_pjoint,fixed,-0.043749,0.20872,0.18027,1.5708,0,-1.5708,F1,0,0,0,,,,,,,,,,,,
