Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-6.56268388412879E-05,-0.0018327007667883,0,0,0,1.65199774001772,0.00540779041066965,-1.72431674672112E-07,-8.16857492341056E-08,0.0050429459667963,-0.000338002907863305,0.00334480903849763,0,0,0,0,0,0,package://Lite6SW_/meshes/Link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.015127615498831,0.0579203911522487,2.15195762957431E-06,0,0,0,0.768992825016748,0.000943628495819822,-0.000157292765813399,2.15983420486426E-07,0.00109494466166902,-2.2204539137001E-07,0.00140822744613936,0,0,0,0,0,0,package://Lite6SW_/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.018734,0.0081421,0.10801,1.5708,0,0.41839,Link0,0,1,0,87,1,-3.14,3.14,,,,,,,,
Link2,0.041353104140957,0.114688680419094,-5.1242653974215E-08,0,0,0,1.07641603361411,0.00746476743700867,0.000698692078070809,2.2810624977429E-09,0.00101415127432838,2.02653848341473E-08,0.00762590197688004,0,0,0,0,0,0,package://Lite6SW_/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.061417,0.070003,0,0.054127,0,0,Link1,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link3,-0.0590104162056161,-0.0374546290557513,-0.000573214322844073,0,0,0,0.765154355426787,0.00178429608164026,-9.39527245627419E-05,4.19014206754237E-06,0.000627175983122899,-6.64736255226824E-05,0.00183654397591093,0,0,0,0,0,0,package://Lite6SW_/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,0.2,0,-1.7132,0,0,Link2,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link4,0.0251915462434445,-8.42242886558986E-07,-0.0941372658740584,0,0,0,1.1994725767824,0.00242244539968596,-2.71514208351718E-08,0.000758513763731677,0.00315210441912404,-8.21404424777058E-10,0.00172766147420692,0,0,0,0,0,0,package://Lite6SW_/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,-0.061117,-0.087,-0.038571,0,0,0.82103,Link3,0,0,1,87,1,-3.14,3.14,,,,,,,,
Link5,0.00343460250192651,-1.94460044083966E-06,-0.00164400897891451,0,0,0,0.407452645545674,0.000358680074998883,-1.10573229971964E-08,-6.27814782399629E-06,0.000380452825271287,1.26618904846184E-08,0.0003345892967851,0,0,0,0,0,0,package://Lite6SW_/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,-0.18854,-0.67025,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,,,,,,
Link6,-0.000153516052779828,-0.000472867635073426,-0.0521159145809904,0,0,0,0.0844257973321182,3.65814841745756E-05,-2.96221338618427E-08,3.62756692099447E-08,3.63143883173678E-05,-6.16704922908972E-08,6.56234025420805E-05,0,0,0,0,0,0,package://Lite6SW_/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,revolute,0,0,0,0,0,2.1732,Link5,0,0,1,12,1,-3.14,3.14,,,,,,,,
Link_hand,0.010872182801597,0.124744778642278,0.161319357408438,0,0,0,2.83294416732262E-05,2.62478882440754E-08,2.4368023087467E-10,-1.930372158913E-10,3.26998417211743E-08,1.55656226417327E-09,5.63749247216314E-08,0,0,0,0,0,0,package://Lite6SW_/meshes/Link_hand.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW_/meshes/Link_hand.STL,,hand_a-1,Origin_Jointhand,,Jointhand,fixed,-0.14394,-0.11066,-0.0009206,-1.5708,0,-0.85704,Link6,0,0,0,0,0,0,,,,,,,,,
F1,-0.0518421828534397,0.197400564511044,0.180271447702763,0,0,0,1.65931125078524E-05,5.21306691856701E-09,-1.07359401247084E-09,-4.30002278213158E-15,1.51225128714632E-09,-3.49226853609456E-15,4.97040966215612E-09,0,0,0,0,0,0,package://Lite6SW_/meshes/F1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW_/meshes/F1.STL,,finger1-1,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,200,1,0,0.04,,,,,,,,
F1point,-1.57845958526082E-13,-8.01199384614648E-14,0.0010000000001818,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6SW_/meshes/F1point.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/F1point.STL,,point-1,Origin_f1_pjoint,Axis_f1_pjoint,f1_pjoint,fixed,-0.0433149501350718,0.225205642232825,0.179410026518604,-0.121659734495872,0.519948216909524,2.35437070235561,F1,0,0,0,,,,,,,,,,,,
F2,0.0520801585323801,0.197400673905767,0.18077145493915,0,0,0,1.65930479686721E-05,5.21301113231915E-09,1.07354260974631E-09,4.07508750883939E-15,1.5122470048129E-09,5.68216224448204E-16,4.97035231758589E-09,0,0,0,0,0,0,package://Lite6SW_/meshes/F2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW_/meshes/F2.STL,,finger2-1,Origin_Joint_f2,Axis_Joint_f2,Joint_f2,prismatic,0.011187,0,-0.0005,0,0,0,Link_hand,-1,0,0,200,1,0,0.04,,,,,,,,
F2point,-2.73753242296948E-13,-1.02237662780169E-13,0.00100000000039052,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6SW_/meshes/F2point.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/F2point.STL,,point-2,Origin_f2_pjoint,Axis_f2_pjoint,f2_pjoint,fixed,0.0444211343865666,0.225205642232822,0.179910026519369,-0.121659734495873,0.519948216909525,2.35437070235557,F2,0,0,0,,,,,,,,,,,,
GripSite,-4.03010957938932E-14,8.67185555135375E-14,0.00100000000037825,0,0,0,4.18879020478639E-06,1.67551608191456E-12,-8.36657410022117E-46,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6SW_/meshes/GripSite.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW_/meshes/GripSite.STL,,point-3,Origin_gripjoint,Axis_gripjoint,gripjoint,fixed,0.0111466205634906,0.213311949504991,0.179910026518689,-0.121659734495872,0.519948216909524,2.35437070235561,Link_hand,0,0,0,,,,,,,,,,,,
