Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-6.56268388412887E-05,-0.0018327007667883,0,0,0,1.65199774001772,0.00540779041066965,-1.72431674672112E-07,-8.16857492340826E-08,0.0050429459667963,-0.000338002907863305,0.00334480903849763,0,0,0,0,0,0,package://Lite6SW__/meshes/Link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0151224289316581,0.0579204493545037,-0.000395252772535124,0,0,0,0.768991147574951,0.000943958544988172,-0.000157244253386335,1.24179420906939E-05,0.00109494607083285,3.91050917428554E-06,0.00140789494980066,0,0,0,0,0,0,package://Lite6SW__/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.01873370459204,0.00814213077337099,0.108012813287898,1.5707963267949,0,0.418385526245345,Link0,0,1,0,87,1,-3.14,3.14,,,,,,,,
Link2,0.0418178106535839,0.113814797073771,0.0101978776328168,0,0,0,1.07641986433026,0.0074708328060011,0.000665584715974756,7.94299128349398E-05,0.00109588421479022,-0.000756923497319181,0.00753808246389134,0,0,0,0,0,0,package://Lite6SW__/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.0614169972994603,0.0700027545007157,0,0.0541266267128605,0,0,Link1,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link3,-0.0571551595033008,-0.0594161049378208,-0.00627070532682644,0,0,0,0.765154192380561,0.0017884098254577,-6.35439965052263E-05,3.73140329358398E-06,0.000628872504811557,-0.000107013701820372,0.0018307309803316,0,0,0,0,0,0,package://Lite6SW__/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,0.19999999998717,0,-1.71315942953273,0,0,Link2,1,0,0,87,1,-3.14,3.14,,,,,,,,
Link4,0.0146219230352994,-0.0137251828334712,-0.100767891492701,0,0,0,1.19946384280686,0.00238378940048293,-3.73544891458244E-05,0.000774382975849306,0.00314998539909909,5.03878392695562E-05,0.00176836956311351,0,0,0,0,0,0,package://Lite6SW__/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,-0.0611169762826419,-0.0870000000340572,-0.0385711624384243,0,0,0.82103341410745,Link3,0,0,1,87,1,-3.14,3.14,,,,,,,,
Link5,-0.0046469375615644,-0.00512275848433533,-0.0148485547624912,0,0,0,0.407452559042946,0.000359112137351547,-1.2654534345993E-08,-5.37137035405331E-06,0.000380433187042669,9.69925667412812E-07,0.000334179339800778,0,0,0,0,0,0,package://Lite6SW__/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,-0.18853883465195,-0.670253176766058,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,,,,,,
Link6,4.12204098166336E-05,0.00695793566524816,-0.0653815639769939,0,0,0,0.0844258078209593,3.65850868090751E-05,1.32954327020911E-08,1.35652369100645E-07,3.63599695160791E-05,1.19399371617811E-06,6.55742245714913E-05,0,0,0,0,0,0,package://Lite6SW__/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,revolute,0,0,0,0,0,2.1732,Link5,0,0,1,12,1,-3.14,3.14,,,,,,,,
Link_hand,0.0102593572494405,0.137280323787331,0.16429788791846,0,0,0,2.83243692171497E-05,2.68612592470033E-08,7.88488466061607E-11,-4.20673554840589E-09,3.28141119368651E-08,2.39907581070479E-09,5.56307847688842E-08,0,0,0,0,0,0,package://Lite6SW__/meshes/Link_hand.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW__/meshes/Link_hand.STL,,hand_a-1,Origin_Jointhand,,Jointhand,fixed,-0.14394,-0.11066,-0.0009206,-1.5708,0,-0.85704,Link6,0,0,0,0,0,0,,,,,,,,,
F1,-0.0523258672922832,0.211870683695196,0.17363215885793,0,0,0,1.65931130070178E-05,5.14099369635495E-09,-1.17180907338994E-09,6.39017999242432E-11,1.57402276664516E-09,-4.39435625156072E-11,4.98071871204861E-09,0,0,0,0,0,0,package://Lite6SW__/meshes/F1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6SW__/meshes/F1.STL,,finger1-1,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,200,1,0,0.04,,,,,,,,
F1point,2.77555756156289E-17,0,0.001,0,0,0,0.0001,2.41666666666667E-10,-2.87574509832889E-25,4.71751443096649E-25,8.66666666666666E-10,2.58493941422821E-26,1.04166666666667E-09,0,0,0,0,0,0,package://Lite6SW__/meshes/F1point.STL,1,1,1,1,0,0,0,0,0,0,package://Lite6SW__/meshes/F1point.STL,,fingertip-2,Origin_f1_pjoint,Axis_f1_pjoint,f1_pjoint,fixed,-0.04397,0.22297,0.1744,1.7084,-0.030335,-1.601,F1,0,0,0,,,,,,,,,,,,
