Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-6.56268388412891E-05,-0.0018327007667883,0,0,0,1.65199774001772,0.00540779041066965,-1.72431674672106E-07,-8.16857492340945E-08,0.0050429459667963,-0.000338002907863305,0.00334480903849763,0,0,0,0,0,0,package://Lite6_/meshes/Link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.015127615498831,0.0579203911522487,2.15195762957431E-06,0,0,0,0.768992825016748,0.000943628495819822,-0.000157292765813399,2.15983420486426E-07,0.00109494466166902,-2.2204539137001E-07,0.00140822744613936,0,0,0,0,0,0,package://Lite6_/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,continuous,0.018734,0.0081421,0.10801,1.5708,0,0.41839,Link0,0,1,0,200,1,-1.57,1.57,,,,,,,,
Link2,0.041353104140957,0.114688680419094,-5.12426539082955E-08,0,0,0,1.07641603361411,0.00746476743700868,0.000698692078070808,2.28106249752606E-09,0.00101415127432838,2.0265384834337E-08,0.00762590197688005,0,0,0,0,0,0,package://Lite6_/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,0.0614169972994603,0.0700027545007157,0,0.0541266267128605,0,0,Link1,1,0,0,200,1,-1.57,1.57,,,,,,,,
Link3,-0.0590104162056161,-0.0374546290557513,-0.000573214322844073,0,0,0,0.765154355426787,0.00178429608164026,-9.39527245627419E-05,4.19014206754237E-06,0.000627175983122899,-6.64736255226824E-05,0.00183654397591093,0,0,0,0,0,0,package://Lite6_/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,continuous,0,0.19999999998717,0,-1.71315942953273,0,0,Link2,1,0,0,200,1,-1.57,1.57,,,,,,,,
Link4,0.0251915480793372,-8.41706179074975E-07,-0.0941372664358029,0,0,0,1.19947252649882,0.00242244529796773,-2.71528855894337E-08,0.00075851374085481,0.00315210415369414,-8.14953055166818E-10,0.00172766128006209,0,0,0,0,0,0,package://Lite6_/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,continuous,-0.0611169762826419,-0.0870000000340572,-0.0385711624384243,0,0,0.82103341410745,Link3,0,0,1,200,1,-1.57,1.57,,,,,,,,
Link5,0.00343460279138903,-1.94611730205962E-06,-0.00164400811620451,0,0,0,0.407452651643225,0.000358680082393014,-1.10412004435259E-08,-6.27815786485657E-06,0.000380452809555584,1.26595687244823E-08,0.000334589320800282,0,0,0,0,0,0,package://Lite6_/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,continuous,0,0,-0.18853883465195,-0.670253176766058,0,0,Link4,1,0,0,200,1,-1.57,1.57,,,,,,,,
Link6,-0.000153516052779828,-0.00047286763507326,-0.0521159145809924,0,0,0,0.0844257973321183,3.65814841745757E-05,-2.96221338618182E-08,3.6275669209943E-08,3.63143883173678E-05,-6.16704922908761E-08,6.56234025420806E-05,0,0,0,0,0,0,package://Lite6_/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,continuous,0,0,0,0,0,2.1732,Link5,0,0,1,200,1,-1.57,1.57,,,,,,,,
Link_hand,0.0108721828162717,0.124744778648581,0.161319357408041,0,0,0,2.83294416607472E-05,2.62478879855079E-08,2.43680192180181E-10,-1.93037227894653E-10,3.26998415266312E-08,1.55656228952997E-09,5.6374924630702E-08,0,0,0,0,0,0,package://Lite6_/meshes/Link_hand.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6_/meshes/Link_hand.STL,,hand_a-1,Origin_Jointhand,Axis_Jointhand,Jointhand,fixed,-0.143943116238207,-0.110661420917816,-0.000920598520888022,-1.5707963267949,0,-0.857039475878802,Link6,0,0,0,0,0,0,,,,,,,,,
F1,-0.0518421828534712,0.197400564511043,0.180271447702638,0,0,0,1.65931125078524E-05,5.21306691856701E-09,-1.07359401247084E-09,-4.30002314919298E-15,1.51225128714632E-09,-3.49226690220606E-15,4.97040966215613E-09,0,0,0,0,0,0,package://Lite6_/meshes/F1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6_/meshes/F1.STL,,finger1-1,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,200,1,0,0.04,,,,,,,,
F1point,-7.14428516346288E-14,-4.37289093824234E-14,0.0010000000000768,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6_/meshes/F1point.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/F1point.STL,,point-1,Origin_f1_pjoint,Axis_f1_pjoint,f1_pjoint,fixed,-0.043315,0.22521,0.17941,-0.12166,0.51995,2.3544,F1,0,0,0,,,,,,,,,,,,
F2,0.0520801585323487,0.197400673905765,0.180771454938865,0,0,0,1.65930479686721E-05,5.21301113231917E-09,1.07354260974632E-09,4.07508714301877E-15,1.5122470048129E-09,5.68214588944112E-16,4.97035231758591E-09,0,0,0,0,0,0,package://Lite6_/meshes/F2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Lite6_/meshes/F2.STL,,finger2-1,Origin_Joint_f2,Axis_Joint_f2,Joint_f2,prismatic,0.011187,0,-0.0005,0,0,0,Link_hand,-1,0,0,200,1,0,0.04,,,,,,,,
F2point,-1.20070620113211E-13,-5.17294540536284E-14,0.00100000000016917,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6_/meshes/F2point.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/F2point.STL,,point-2,Origin_f2_pjoint,Axis_f2_pjoint,f2_pjoint,fixed,0.044421,0.22521,0.17991,-0.12166,0.51995,2.3544,F2,0,0,0,,,,,,,,,,,,
GripSite,-1.36834987785051E-14,2.87651846786474E-14,0.00100000000014841,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://Lite6_/meshes/GripSite.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lite6_/meshes/GripSite.STL,,point-3,Origin_gripjoint,Axis_gripjoint,gripjoint,fixed,0.011147,0.21331,0.17991,-0.12166,0.51995,2.3544,Link_hand,0,0,0,,,,,,,,,,,,
