Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-0.00183270076678829,6.5626838841288E-05,0,0,0,1.65199774001772,0.00540779041066965,-8.16857492340903E-08,1.72431674672113E-07,0.00334480903849763,0.000338002907863305,0.0050429459667963,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0151275877640529,0.0579204989758781,2.29070547088858E-06,0,0,0,0.768987424503121,0.000943620166744112,-0.000157292469488381,2.16151675811599E-07,0.00109494955205421,-2.22385109435551E-07,0.00140822543505756,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,continuous,0.01873370459204,0.00814213077337099,0.108012813287898,1.5707963267949,0,0.534566415064034,Link0,0,1,0,87,0.5,-3.14,3.14,,,,,,,,
Link2,0.0319552717721059,0.114689324870814,-2.34165446214019E-07,0,0,0,1.07641455840455,0.00746471638775654,0.000698716686025042,2.91962998048845E-10,0.00101418449701484,2.23314209243965E-08,0.00762585101007418,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,0.0708145360547446,0.0700027545006994,0,0.293075358022589,0,0,Link1,1,0,0,87,0.5,-3.14,3.14,,,,,,,,
Link3,-0.0684079283978322,-0.0374546242809209,-0.00057322344864813,0,0,0,0.765154206506972,0.00178431293310252,-9.39620212904799E-05,4.18851807630257E-06,0.000627171541037176,-6.64756261159853E-05,0.00183655460550802,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,continuous,0,0.199999999987175,0,-1.9165781011244,0,0,Link2,1,0,0,87,0.5,-3.14,3.14,,,,,,,,
Link4,0.0251920450883915,-6.67161865794408E-07,-0.0963887898740919,0,0,0,1.19946345498765,0.00242244328367107,-2.35680673095105E-08,0.000758522353835606,0.00315207302827081,3.85905844176623E-09,0.0017276308082087,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,continuous,-0.0705145150381237,-0.0870000000340616,-0.0363195600469317,0,0,0.869790175262033,Link3,0,0,1,87,0.5,-3.14,3.14,,,,,,,,
Link5,0.00343403155541083,-2.36616388929467E-06,-0.0016448646110556,0,0,0,0.407437629747687,0.000358679363012641,-9.48497692080804E-09,-6.27720628913369E-06,0.000380453387598683,9.95827271108431E-09,0.000334587682435985,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,continuous,0,0,-0.190790437043502,-0.666939521728903,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,,,,,,
Link6,0.000274183128525979,0.000417792805570888,-0.0521159235743316,0,0,0,0.0844259193061576,3.65815393489733E-05,-2.96693328041841E-08,3.6264522907474E-08,3.63144343347605E-05,-6.16831241202342E-08,6.56235022074535E-05,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,continuous,0,0,0,0,0,-1.27776431199109,Link5,0,0,1,12,1,-3.14,3.14,,,,,,,,
Link_hand,-0.00577010131191774,-6.63367727166131E-07,-0.0020449427041033,0,0,0,0.0615360469944409,3.70361303346527E-05,4.66409878560795E-09,-2.12198750977682E-07,6.46528304039921E-05,6.05357565502379E-11,7.92466350125759E-05,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link_hand.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/Link_hand.STL,,装配体33^LiteParallelGriper-1/TipCover.step-1;装配体33^LiteParallelGriper-1/ToArm.step-1;装配体33^LiteParallelGriper-1/SCS3045MBase.step-1,Origin_Jointhand,,Jointhand,fixed,-0.0057852,-0.00043744,-0.115,-3.1416,0,-2.9883,Link6,0,0,0,0,0,0,,,,,,,,,
F1,5.55111512312578E-17,-0.0363190407693183,-0.0253893461314733,0,0,0,0.00588455710912804,1.74429173239014E-06,-5.02925812432241E-22,-2.64697796016969E-22,1.73702560834722E-07,1.17920315299786E-07,1.82627225504684E-06,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/F1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/F1.STL,,claw_50mm.step-2,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.00016397,2.8968E-05,0.024562,-1.5708,0,1.5708,Link_hand,0,0,1,200,0.1,0,0.03,,,10,0,,,,
F1point,0,2.77555756156289E-17,0.000999999999999973,0,0,0,0.00013,3.14166666666666E-10,5.23450231381213E-25,-3.21501839644634E-25,1.12666666666667E-09,8.27180612553028E-25,1.35416666666667E-09,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/F1point.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://LiteParallelGriper9/meshes/F1point.STL,,fingertip-2,Origin_f1_pjoint,,f1_pjoint,fixed,0,-0.053,-0.022236,3.1416,0,1.5708,F1,0,0,0,,,,,,,,,,,,
