"global_step","DRRandom_04-01-36-40 - _step","DRRandom_04-01-36-40 - _step__MIN","DRRandom_04-01-36-40 - _step__MAX","DRRandom_04-01-36-40 - rewards/step","DRRandom_04-01-36-40 - rewards/step__MIN","DRRandom_04-01-36-40 - rewards/step__MAX"
"0","0","0","0","-23.526214599609375","-23.526214599609375","-23.526214599609375"
"524288","5","5","5","-22.994211196899414","-22.994211196899414","-22.994211196899414"
"1048576","9","9","9","-21.17962074279785","-21.17962074279785","-21.17962074279785"
"1572864","13","13","13","-19.40107536315918","-19.40107536315918","-19.40107536315918"
"2097152","17","17","17","-19.21596336364746","-19.21596336364746","-19.21596336364746"
"2621440","21","21","21","-16.6650390625","-16.6650390625","-16.6650390625"
"3145728","25","25","25","-15.960874557495117","-15.960874557495117","-15.960874557495117"
"3670016","29","29","29","-13.611604690551758","-13.611604690551758","-13.611604690551758"
"4194304","33","33","33","-13.760234832763672","-13.760234832763672","-13.760234832763672"
"4718592","37","37","37","-12.706364631652832","-12.706364631652832","-12.706364631652832"
"5242880","41","41","41","-11.743274688720703","-11.743274688720703","-11.743274688720703"
"5767168","45","45","45","-11.312955856323242","-11.312955856323242","-11.312955856323242"
"6291456","49","49","49","-11.831311225891113","-11.831311225891113","-11.831311225891113"
"6815744","53","53","53","-9.809112548828125","-9.809112548828125","-9.809112548828125"
"7340032","57","57","57","-10.217702865600586","-10.217702865600586","-10.217702865600586"
"7864320","61","61","61","-10.19293212890625","-10.19293212890625","-10.19293212890625"
"8388608","65","65","65","-9.55364990234375","-9.55364990234375","-9.55364990234375"
"8912896","69","69","69","-10.058866500854492","-10.058866500854492","-10.058866500854492"
"9437184","73","73","73","-8.56247615814209","-8.56247615814209","-8.56247615814209"
"9961472","77","77","77","-7.999983787536621","-7.999983787536621","-7.999983787536621"
"10485760","81","81","81","-8.097939491271973","-8.097939491271973","-8.097939491271973"
"11010048","85","85","85","-7.44113826751709","-7.44113826751709","-7.44113826751709"
"11534336","89","89","89","-6.968357563018799","-6.968357563018799","-6.968357563018799"
"12058624","93","93","93","-7.306329727172852","-7.306329727172852","-7.306329727172852"
"12582912","97","97","97","-5.555099964141846","-5.555099964141846","-5.555099964141846"
"13107200","101","101","101","-5.1313157081604","-5.1313157081604","-5.1313157081604"
"13631488","105","105","105","-5.48049259185791","-5.48049259185791","-5.48049259185791"
"14155776","109","109","109","-3.9789812564849854","-3.9789812564849854","-3.9789812564849854"
"14680064","113","113","113","-3.4834389686584473","-3.4834389686584473","-3.4834389686584473"
"15204352","117","117","117","-2.91048526763916","-2.91048526763916","-2.91048526763916"
"15728640","121","121","121","-4.904036045074463","-4.904036045074463","-4.904036045074463"
"16252928","125","125","125","-3.308891773223877","-3.308891773223877","-3.308891773223877"
"16777216","129","129","129","-3.5233218669891357","-3.5233218669891357","-3.5233218669891357"
"17301504","133","133","133","-2.2566425800323486","-2.2566425800323486","-2.2566425800323486"
"17825792","137","137","137","-2.021012544631958","-2.021012544631958","-2.021012544631958"
"18350080","141","141","141","-1.0952593088150024","-1.0952593088150024","-1.0952593088150024"
"18874368","145","145","145","-2.3064515590667725","-2.3064515590667725","-2.3064515590667725"
"19398656","149","149","149","-0.7895950675010681","-0.7895950675010681","-0.7895950675010681"
"19922944","153","153","153","1.0160956382751465","1.0160956382751465","1.0160956382751465"
"20447232","157","157","157","0.5348525643348694","0.5348525643348694","0.5348525643348694"
"20971520","161","161","161","1.406390905380249","1.406390905380249","1.406390905380249"
"21495808","165","165","165","1.1337844133377075","1.1337844133377075","1.1337844133377075"
"22020096","169","169","169","0.49820199608802795","0.49820199608802795","0.49820199608802795"
"22544384","173","173","173","0.2826424539089203","0.2826424539089203","0.2826424539089203"
"23068672","177","177","177","2.4055871963500977","2.4055871963500977","2.4055871963500977"
