"global_step","DRRandom_04-01-36-40 - _step","DRRandom_04-01-36-40 - _step__MIN","DRRandom_04-01-36-40 - _step__MAX","DRRandom_04-01-36-40 - rewards/collision/step","DRRandom_04-01-36-40 - rewards/collision/step__MIN","DRRandom_04-01-36-40 - rewards/collision/step__MAX"
"192","3","3","3","-9.99999713897705","-9.99999713897705","-9.99999713897705"
"524288","7","7","7","-9.999019622802734","-9.999019622802734","-9.999019622802734"
"1048576","11","11","11","-9.99999713897705","-9.99999713897705","-9.99999713897705"
"1572864","15","15","15","-9.99999713897705","-9.99999713897705","-9.99999713897705"
"2097152","19","19","19","-9.999910354614258","-9.999910354614258","-9.999910354614258"
"2621440","23","23","23","-9.99999713897705","-9.99999713897705","-9.99999713897705"
"3145728","27","27","27","-9.992517471313477","-9.992517471313477","-9.992517471313477"
"3670016","31","31","31","-9.999995231628418","-9.999995231628418","-9.999995231628418"
"4194304","35","35","35","-9.995129585266113","-9.995129585266113","-9.995129585266113"
"4718592","39","39","39","-9.945270538330078","-9.945270538330078","-9.945270538330078"
"5242880","43","43","43","-9.861248970031738","-9.861248970031738","-9.861248970031738"
"5767168","47","47","47","-9.98608112335205","-9.98608112335205","-9.98608112335205"
"6291456","51","51","51","-9.99999713897705","-9.99999713897705","-9.99999713897705"
"6815744","55","55","55","-9.940696716308594","-9.940696716308594","-9.940696716308594"
"7340032","59","59","59","-9.876565933227539","-9.876565933227539","-9.876565933227539"
"7864320","63","63","63","-9.850189208984375","-9.850189208984375","-9.850189208984375"
"8388608","67","67","67","-9.984864234924316","-9.984864234924316","-9.984864234924316"
"8912896","71","71","71","-9.868375778198242","-9.868375778198242","-9.868375778198242"
"9437184","75","75","75","-9.888383865356445","-9.888383865356445","-9.888383865356445"
"9961472","79","79","79","-9.916692733764648","-9.916692733764648","-9.916692733764648"
"10485760","83","83","83","-9.862299919128418","-9.862299919128418","-9.862299919128418"
"11010048","87","87","87","-9.84399127960205","-9.84399127960205","-9.84399127960205"
"11534336","91","91","91","-9.772317886352539","-9.772317886352539","-9.772317886352539"
"12058624","95","95","95","-9.806173324584961","-9.806173324584961","-9.806173324584961"
"12582912","99","99","99","-9.634217262268066","-9.634217262268066","-9.634217262268066"
"13107200","103","103","103","-9.603195190429688","-9.603195190429688","-9.603195190429688"
"13631488","107","107","107","-9.5668306350708","-9.5668306350708","-9.5668306350708"
"14155776","111","111","111","-9.868393898010254","-9.868393898010254","-9.868393898010254"
"14680064","115","115","115","-9.479263305664062","-9.479263305664062","-9.479263305664062"
"15204352","119","119","119","-9.516868591308594","-9.516868591308594","-9.516868591308594"
"15728640","123","123","123","-9.673318862915039","-9.673318862915039","-9.673318862915039"
"16252928","127","127","127","-9.560396194458008","-9.560396194458008","-9.560396194458008"
"16777216","131","131","131","-9.433130264282227","-9.433130264282227","-9.433130264282227"
"17301504","135","135","135","-9.499381065368652","-9.499381065368652","-9.499381065368652"
"17825792","139","139","139","-9.558895111083984","-9.558895111083984","-9.558895111083984"
"18350080","143","143","143","-9.104968070983887","-9.104968070983887","-9.104968070983887"
"18874368","147","147","147","-9.263216018676758","-9.263216018676758","-9.263216018676758"
"19398656","151","151","151","-9.690051078796387","-9.690051078796387","-9.690051078796387"
"19922944","155","155","155","-9.339509010314941","-9.339509010314941","-9.339509010314941"
"20447232","159","159","159","-9.358259201049805","-9.358259201049805","-9.358259201049805"
"20971520","163","163","163","-9.415786743164062","-9.415786743164062","-9.415786743164062"
"21495808","167","167","167","-9.406904220581055","-9.406904220581055","-9.406904220581055"
"22020096","171","171","171","-9.4617919921875","-9.4617919921875","-9.4617919921875"
"22544384","175","175","175","-9.424764633178711","-9.424764633178711","-9.424764633178711"
"23068672","179","179","179","-8.831751823425293","-8.831751823425293","-8.831751823425293"
"23592960","183","183","183","-8.94803237915039","-8.94803237915039","-8.94803237915039"
"24117248","187","187","187","-9.292790412902832","-9.292790412902832","-9.292790412902832"
"24641536","191","191","191","-9.225264549255371","-9.225264549255371","-9.225264549255371"
