"global_step","DRRandom_30-14-12-24 - _step","DRRandom_30-14-12-24 - _step__MIN","DRRandom_30-14-12-24 - _step__MAX","DRRandom_30-14-12-24 - rewards/step","DRRandom_30-14-12-24 - rewards/step__MIN","DRRandom_30-14-12-24 - rewards/step__MAX"
"0","0","0","0","-34.648582458496094","-34.648582458496094","-34.648582458496094"
"1638400","5","5","5","-30.1212100982666","-30.1212100982666","-30.1212100982666"
"3276800","9","9","9","-29.351076126098633","-29.351076126098633","-29.351076126098633"
"4915200","13","13","13","-27.606740951538086","-27.606740951538086","-27.606740951538086"
"6553600","17","17","17","-27.50156021118164","-27.50156021118164","-27.50156021118164"
"8192000","21","21","21","-22.063472747802734","-22.063472747802734","-22.063472747802734"
"9830400","25","25","25","-19.44154930114746","-19.44154930114746","-19.44154930114746"
"11468800","29","29","29","-17.980981826782227","-17.980981826782227","-17.980981826782227"
"13107200","33","33","33","-14.263289451599121","-14.263289451599121","-14.263289451599121"
"14745600","37","37","37","-12.626252174377441","-12.626252174377441","-12.626252174377441"
"16384000","41","41","41","-11.838337898254395","-11.838337898254395","-11.838337898254395"
"18022400","45","45","45","-9.172247886657715","-9.172247886657715","-9.172247886657715"
"19660800","49","49","49","-7.004283428192139","-7.004283428192139","-7.004283428192139"
"21299200","53","53","53","-5.599557876586914","-5.599557876586914","-5.599557876586914"
"22937600","57","57","57","-4.175849914550781","-4.175849914550781","-4.175849914550781"
"24576000","61","61","61","-2.819767475128174","-2.819767475128174","-2.819767475128174"
"26214400","65","65","65","-0.46467480063438416","-0.46467480063438416","-0.46467480063438416"
"27852800","69","69","69","1.973110318183899","1.973110318183899","1.973110318183899"
"29491200","73","73","73","2.933623790740967","2.933623790740967","2.933623790740967"
"31129600","77","77","77","4.996857166290283","4.996857166290283","4.996857166290283"
"32768000","81","81","81","6.343785285949707","6.343785285949707","6.343785285949707"
"34406400","85","85","85","7.074692726135254","7.074692726135254","7.074692726135254"
"36044800","89","89","89","9.940253257751465","9.940253257751465","9.940253257751465"
"37683200","93","93","93","10.35645580291748","10.35645580291748","10.35645580291748"
"39321600","97","97","97","14.083338737487793","14.083338737487793","14.083338737487793"
"40960000","101","101","101","13.900152206420898","13.900152206420898","13.900152206420898"
"42598400","105","105","105","16.587736129760742","16.587736129760742","16.587736129760742"
"44236800","109","109","109","17.186399459838867","17.186399459838867","17.186399459838867"
"45875200","113","113","113","17.607789993286133","17.607789993286133","17.607789993286133"
"47513600","117","117","117","19.194597244262695","19.194597244262695","19.194597244262695"
"49152000","121","121","121","18.622400283813477","18.622400283813477","18.622400283813477"
