"global_step","DRAsset_30-15-26-50 - _step","DRAsset_30-15-26-50 - _step__MIN","DRAsset_30-15-26-50 - _step__MAX","DRAsset_30-15-26-50 - rewards/step","DRAsset_30-15-26-50 - rewards/step__MIN","DRAsset_30-15-26-50 - rewards/step__MAX"
"0","0","0","0","-32.18203353881836","-32.18203353881836","-32.18203353881836"
"819200","5","5","5","-31.31485939025879","-31.31485939025879","-31.31485939025879"
"1638400","9","9","9","-29.983402252197266","-29.983402252197266","-29.983402252197266"
"2457600","13","13","13","-28.452274322509766","-28.452274322509766","-28.452274322509766"
"3276800","17","17","17","-29.7622013092041","-29.7622013092041","-29.7622013092041"
"4096000","21","21","21","-26.898210525512695","-26.898210525512695","-26.898210525512695"
"4915200","25","25","25","-22.582130432128906","-22.582130432128906","-22.582130432128906"
"5734400","29","29","29","-18.98211669921875","-18.98211669921875","-18.98211669921875"
"6553600","33","33","33","-13.359375","-13.359375","-13.359375"
"7372800","37","37","37","-7.691965103149414","-7.691965103149414","-7.691965103149414"
"8192000","41","41","41","-5.0782151222229","-5.0782151222229","-5.0782151222229"
"9011200","45","45","45","-1.415287733078003","-1.415287733078003","-1.415287733078003"
"9830400","49","49","49","1.708681583404541","1.708681583404541","1.708681583404541"
"10649600","53","53","53","7.796047210693359","7.796047210693359","7.796047210693359"
"11468800","57","57","57","8.537351608276367","8.537351608276367","8.537351608276367"
"12288000","61","61","61","12.846026420593262","12.846026420593262","12.846026420593262"
"13107200","65","65","65","15.166170120239258","15.166170120239258","15.166170120239258"
"13926400","69","69","69","18.70228385925293","18.70228385925293","18.70228385925293"
"14745600","73","73","73","23.124481201171875","23.124481201171875","23.124481201171875"
"15564800","77","77","77","25.067079544067383","25.067079544067383","25.067079544067383"
"16384000","81","81","81","29.463058471679688","29.463058471679688","29.463058471679688"
"17203200","85","85","85","32.145843505859375","32.145843505859375","32.145843505859375"
"18022400","89","89","89","33.79744338989258","33.79744338989258","33.79744338989258"
"18841600","93","93","93","34.957698822021484","34.957698822021484","34.957698822021484"
"19660800","97","97","97","38.76231002807617","38.76231002807617","38.76231002807617"
"20480000","101","101","101","42.40336990356445","42.40336990356445","42.40336990356445"
"21299200","105","105","105","44.89889144897461","44.89889144897461","44.89889144897461"
"22118400","109","109","109","46.76588439941406","46.76588439941406","46.76588439941406"
"22937600","113","113","113","47.22659683227539","47.22659683227539","47.22659683227539"
"23756800","117","117","117","49.026268005371094","49.026268005371094","49.026268005371094"
"24576000","121","121","121","51.38692092895508","51.38692092895508","51.38692092895508"
"25395200","125","125","125","50.82630920410156","50.82630920410156","50.82630920410156"
"26214400","129","129","129","52.42961883544922","52.42961883544922","52.42961883544922"
"27033600","133","133","133","54.76578140258789","54.76578140258789","54.76578140258789"
"27852800","137","137","137","57.36787796020508","57.36787796020508","57.36787796020508"
"28672000","141","141","141","60.63254928588867","60.63254928588867","60.63254928588867"
"29491200","145","145","145","60.6993293762207","60.6993293762207","60.6993293762207"
"30310400","149","149","149","63.93501281738281","63.93501281738281","63.93501281738281"
"31129600","153","153","153","64.21807098388672","64.21807098388672","64.21807098388672"
"31948800","157","157","157","65.45503234863281","65.45503234863281","65.45503234863281"
"32768000","161","161","161","67.21717834472656","67.21717834472656","67.21717834472656"
"33587200","165","165","165","67.4539566040039","67.4539566040039","67.4539566040039"
"34406400","169","169","169","67.46314239501953","67.46314239501953","67.46314239501953"
"35225600","173","173","173","68.01870727539062","68.01870727539062","68.01870727539062"
"36044800","177","177","177","68.63600158691406","68.63600158691406","68.63600158691406"
"36864000","181","181","181","68.84632873535156","68.84632873535156","68.84632873535156"
"37683200","185","185","185","70.38807678222656","70.38807678222656","70.38807678222656"
"38502400","189","189","189","71.78939819335938","71.78939819335938","71.78939819335938"
"39321600","193","193","193","73.10181427001953","73.10181427001953","73.10181427001953"
"40140800","197","197","197","74.04694366455078","74.04694366455078","74.04694366455078"
"40960000","201","201","201","74.77945709228516","74.77945709228516","74.77945709228516"
"41779200","205","205","205","74.95346069335938","74.95346069335938","74.95346069335938"
"42598400","209","209","209","75.55719757080078","75.55719757080078","75.55719757080078"
"43417600","213","213","213","75.91909790039062","75.91909790039062","75.91909790039062"
"44236800","217","217","217","76.4078140258789","76.4078140258789","76.4078140258789"
"45056000","221","221","221","76.83942413330078","76.83942413330078","76.83942413330078"
"45875200","225","225","225","77.5467300415039","77.5467300415039","77.5467300415039"
"46694400","229","229","229","77.84815216064453","77.84815216064453","77.84815216064453"
"47513600","233","233","233","78.38223266601562","78.38223266601562","78.38223266601562"
"48332800","237","237","237","79.05500030517578","79.05500030517578","79.05500030517578"
"49152000","241","241","241","79.21051788330078","79.21051788330078","79.21051788330078"
"49971200","245","245","245","79.89398956298828","79.89398956298828","79.89398956298828"
"50790400","249","249","249","80.40926361083984","80.40926361083984","80.40926361083984"
"51609600","253","253","253","80.85880279541016","80.85880279541016","80.85880279541016"
"52428800","257","257","257","80.37973022460938","80.37973022460938","80.37973022460938"
"53248000","261","261","261","81.46005249023438","81.46005249023438","81.46005249023438"
"54067200","265","265","265","81.43396759033203","81.43396759033203","81.43396759033203"
"54886400","269","269","269","82.16582489013672","82.16582489013672","82.16582489013672"
"55705600","273","273","273","82.521484375","82.521484375","82.521484375"
"56524800","277","277","277","82.39838409423828","82.39838409423828","82.39838409423828"
"57344000","281","281","281","82.33724212646484","82.33724212646484","82.33724212646484"
"58163200","285","285","285","82.12281799316406","82.12281799316406","82.12281799316406"
"58982400","289","289","289","82.57845306396484","82.57845306396484","82.57845306396484"
"59801600","293","293","293","83.1097183227539","83.1097183227539","83.1097183227539"
"60620800","297","297","297","84.41431427001953","84.41431427001953","84.41431427001953"
"61440000","301","301","301","85.57048797607422","85.57048797607422","85.57048797607422"
"62259200","305","305","305","86.07222747802734","86.07222747802734","86.07222747802734"
"63078400","309","309","309","87.8832778930664","87.8832778930664","87.8832778930664"
"63897600","313","313","313","87.98388671875","87.98388671875","87.98388671875"
"64716800","317","317","317","88.31554412841797","88.31554412841797","88.31554412841797"
"65536000","321","321","321","88.65139770507812","88.65139770507812","88.65139770507812"
"66355200","325","325","325","88.98595428466797","88.98595428466797","88.98595428466797"
"67174400","329","329","329","89.50712585449219","89.50712585449219","89.50712585449219"
"67993600","333","333","333","90.13626098632812","90.13626098632812","90.13626098632812"
"68812800","337","337","337","90.00422668457031","90.00422668457031","90.00422668457031"
"69632000","341","341","341","90.47052764892578","90.47052764892578","90.47052764892578"
"70451200","345","345","345","91.13899993896484","91.13899993896484","91.13899993896484"
"71270400","349","349","349","90.34095764160156","90.34095764160156","90.34095764160156"
"72089600","353","353","353","91.73001861572266","91.73001861572266","91.73001861572266"
"72908800","357","357","357","92.36653900146484","92.36653900146484","92.36653900146484"
"73728000","361","361","361","93.05995178222656","93.05995178222656","93.05995178222656"
"74547200","365","365","365","93.31439971923828","93.31439971923828","93.31439971923828"
"75366400","369","369","369","93.721923828125","93.721923828125","93.721923828125"
"76185600","373","373","373","94.33381652832031","94.33381652832031","94.33381652832031"
"77004800","377","377","377","95.08702850341797","95.08702850341797","95.08702850341797"
"77824000","381","381","381","96.91255950927734","96.91255950927734","96.91255950927734"
"78643200","385","385","385","98.64586639404297","98.64586639404297","98.64586639404297"
"79462400","389","389","389","101.00004577636719","101.00004577636719","101.00004577636719"
"80281600","393","393","393","104.25716400146484","104.25716400146484","104.25716400146484"
"81100800","397","397","397","106.15159606933594","106.15159606933594","106.15159606933594"
"81920000","401","401","401","105.84529113769531","105.84529113769531","105.84529113769531"
"82739200","405","405","405","108.822021484375","108.822021484375","108.822021484375"
"83558400","409","409","409","107.58392333984375","107.58392333984375","107.58392333984375"
"84377600","413","413","413","108.7061767578125","108.7061767578125","108.7061767578125"
"85196800","417","417","417","108.8290023803711","108.8290023803711","108.8290023803711"
"86016000","421","421","421","110.257080078125","110.257080078125","110.257080078125"
"86835200","425","425","425","110.03636169433594","110.03636169433594","110.03636169433594"
"87654400","429","429","429","110.42456817626953","110.42456817626953","110.42456817626953"
"88473600","433","433","433","110.46240234375","110.46240234375","110.46240234375"
"89292800","437","437","437","110.53307342529297","110.53307342529297","110.53307342529297"
"90112000","441","441","441","110.5341796875","110.5341796875","110.5341796875"
"90931200","445","445","445","110.4532699584961","110.4532699584961","110.4532699584961"
"91750400","449","449","449","110.55850982666016","110.55850982666016","110.55850982666016"
"92569600","453","453","453","110.45596313476562","110.45596313476562","110.45596313476562"
"93388800","457","457","457","110.50789642333984","110.50789642333984","110.50789642333984"
"94208000","461","461","461","110.50423431396484","110.50423431396484","110.50423431396484"
"95027200","465","465","465","110.63358306884766","110.63358306884766","110.63358306884766"
"95846400","469","469","469","109.98017120361328","109.98017120361328","109.98017120361328"
"96665600","473","473","473","110.89254760742188","110.89254760742188","110.89254760742188"
"97484800","477","477","477","110.84244537353516","110.84244537353516","110.84244537353516"
"98304000","481","481","481","110.84843444824219","110.84843444824219","110.84843444824219"
"99123200","485","485","485","110.93870544433594","110.93870544433594","110.93870544433594"
"99942400","489","489","489","110.77571868896484","110.77571868896484","110.77571868896484"
"100761600","493","493","493","110.82785034179688","110.82785034179688","110.82785034179688"
"101580800","497","497","497","110.77915954589844","110.77915954589844","110.77915954589844"
"102400000","501","501","501","110.85020446777344","110.85020446777344","110.85020446777344"
"103219200","505","505","505","110.82056427001953","110.82056427001953","110.82056427001953"
"104038400","509","509","509","110.78627014160156","110.78627014160156","110.78627014160156"
"104857600","513","513","513","110.69759368896484","110.69759368896484","110.69759368896484"
"105676800","517","517","517","110.74956512451172","110.74956512451172","110.74956512451172"
"106496000","521","521","521","110.75735473632812","110.75735473632812","110.75735473632812"
"107315200","525","525","525","110.80030059814453","110.80030059814453","110.80030059814453"
"108134400","529","529","529","110.71249389648438","110.71249389648438","110.71249389648438"
"108953600","533","533","533","110.70784759521484","110.70784759521484","110.70784759521484"
"109772800","537","537","537","110.73592376708984","110.73592376708984","110.73592376708984"
"110592000","541","541","541","110.73344421386719","110.73344421386719","110.73344421386719"
"111411200","545","545","545","110.70268249511719","110.70268249511719","110.70268249511719"
"112230400","549","549","549","110.70188903808594","110.70188903808594","110.70188903808594"
"113049600","553","553","553","110.82147979736328","110.82147979736328","110.82147979736328"
"113868800","557","557","557","110.80201721191406","110.80201721191406","110.80201721191406"
"114688000","561","561","561","110.82105255126953","110.82105255126953","110.82105255126953"
"115507200","565","565","565","110.78156280517578","110.78156280517578","110.78156280517578"
"116326400","569","569","569","110.81396484375","110.81396484375","110.81396484375"
"117145600","573","573","573","110.77930450439453","110.77930450439453","110.77930450439453"
"117964800","577","577","577","110.7258071899414","110.7258071899414","110.7258071899414"
"118784000","581","581","581","110.83123016357422","110.83123016357422","110.83123016357422"
"119603200","585","585","585","110.73233032226562","110.73233032226562","110.73233032226562"
"120422400","589","589","589","110.80208587646484","110.80208587646484","110.80208587646484"
"121241600","593","593","593","110.69791412353516","110.69791412353516","110.69791412353516"
"122060800","597","597","597","110.66498565673828","110.66498565673828","110.66498565673828"
"122880000","601","601","601","110.74213409423828","110.74213409423828","110.74213409423828"
"123699200","605","605","605","110.70230102539062","110.70230102539062","110.70230102539062"
"124518400","609","609","609","110.68431091308594","110.68431091308594","110.68431091308594"
"125337600","613","613","613","110.72357940673828","110.72357940673828","110.72357940673828"
"126156800","617","617","617","110.73878479003906","110.73878479003906","110.73878479003906"
"126976000","621","621","621","110.78778076171875","110.78778076171875","110.78778076171875"
"127795200","625","625","625","110.7831039428711","110.7831039428711","110.7831039428711"
"128614400","629","629","629","110.72936248779297","110.72936248779297","110.72936248779297"
"129433600","633","633","633","110.75981903076172","110.75981903076172","110.75981903076172"
"130252800","637","637","637","110.7753677368164","110.7753677368164","110.7753677368164"
"131072000","641","641","641","110.66571807861328","110.66571807861328","110.66571807861328"
"131891200","645","645","645","110.86940002441406","110.86940002441406","110.86940002441406"
"132710400","649","649","649","110.3696060180664","110.3696060180664","110.3696060180664"
"133529600","653","653","653","110.90158081054688","110.90158081054688","110.90158081054688"
"134348800","657","657","657","110.8233642578125","110.8233642578125","110.8233642578125"
